wavelength,xbar,ybar,zbar
544,0.600648464,1.03758023,-0.0101484
545,0.647273801,1.033857172,-0.010375296
546,0.693899139,1.030134114,-0.010602191
547,0.740524476,1.026411055,-0.010829087
548,0.787246947,1.022354344,-0.011047579
549,0.835644984,1.012542114,-0.011121117
550,0.88404302,1.002729885,-0.011194656
551,0.932441056,0.992917656,-0.011268194
552,0.980839093,0.983105426,-0.011341732
553,1.029237129,0.973293197,-0.01141527
554,1.077635166,0.963480968,-0.011488808
555,1.126033202,0.953668739,-0.011562346
556,1.175466283,0.944671328,-0.011564476
557,1.22619317,0.936692442,-0.011477347
558,1.276920058,0.928713556,-0.011390218
559,1.327646945,0.920734669,-0.011303089
560,1.378373832,0.912755783,-0.01121596
561,1.429100719,0.904776897,-0.011128831
562,1.479827606,0.896798011,-0.011041702
563,1.530554494,0.888819124,-0.010954574
564,1.581956541,0.875462095,-0.010773504
565,1.633772891,0.858804842,-0.01053479
566,1.685589242,0.842147589,-0.010296076
567,1.737405592,0.825490336,-0.010057362
568,1.789221942,0.808833082,-0.009818648
569,1.841038292,0.792175829,-0.009579933
570,1.892854643,0.775518576,-0.009341219
571,1.944670993,0.758861323,-0.009102505
572,1.99224585,0.741007414,-0.008905944
573,2.036639588,0.722256014,-0.008740998
574,2.081033325,0.703504613,-0.008576051
575,2.125427063,0.684753213,-0.008411105
576,2.1698208,0.666001813,-0.008246159
577,2.214214538,0.647250412,-0.008081212
578,2.258608275,0.628499012,-0.007916266
579,2.303002013,0.609747612,-0.00775132
580,2.34892632,0.591470025,-0.007593402
581,2.398600524,0.57435328,-0.007452702
582,2.448274728,0.557236536,-0.007312003
583,2.497948932,0.540119791,-0.007171303
584,2.547623136,0.523003047,-0.007030604
585,2.59729734,0.505886303,-0.006889904
586,2.646971544,0.488769558,-0.006749205
587,2.696645748,0.471652814,-0.006608505
588,2.746319952,0.454536069,-0.006467806
589,2.778462738,0.437832171,-0.006216478
590,2.805211242,0.421255301,-0.005931111
591,2.831959746,0.404678432,-0.005645743
592,2.85870825,0.388101563,-0.005360376
593,2.885456753,0.371524693,-0.005075009
594,2.912205257,0.354947824,-0.004789641
595,2.938953761,0.338370955,-0.004504274
596,2.965702265,0.321794085,-0.004218907
597,2.992450769,0.305217216,-0.003933539
598,2.982301293,0.291386812,-0.003782562
599,2.971592756,0.277598021,-0.003633621
600,2.96088422,0.26380923,-0.00348468
601,2.950175684,0.250020439,-0.003335739
602,2.939467147,0.236231648,-0.003186798
603,2.928758611,0.222442857,-0.003037857
604,2.918050075,0.208654066,-0.002888917
605,2.907341539,0.194865275,-0.002739976
606,2.896633002,0.181076484,-0.002591035
607,2.867495124,0.171315277,-0.002565966
608,2.837168256,0.161813914,-0.002548889
609,2.806841388,0.15231255,-0.002531812
610,2.77651452,0.142811187,-0.002514735
611,2.746187652,0.133309824,-0.002497658
612,2.715860784,0.12380846,-0.002480581
613,2.685533916,0.114307097,-0.002463504
614,2.655207048,0.104805734,-0.002446427
615,2.62488018,0.09530437,-0.00242935
616,2.581785856,0.088187884,-0.002351118
617,2.530711872,0.082561946,-0.002234663
618,2.479637888,0.076936008,-0.002118209
619,2.428563904,0.071310069,-0.002001754
620,2.37748992,0.065684131,-0.0018853
621,2.326415936,0.060058193,-0.001768846
622,2.275341952,0.054432255,-0.001652391
623,2.224267968,0.048806316,-0.001535937
624,2.173193984,0.043180378,-0.001419482
625,2.12212,0.03755444,-0.001303028
626,2.066462848,0.03569174,-0.001238398
627,2.010805696,0.03382904,-0.001173768
628,1.955148544,0.031966339,-0.001109137
629,1.899491392,0.030103639,-0.001044507
630,1.84383424,0.028240939,-0.000979877
631,1.788177088,0.026378239,-0.000915247
